company,model,sale_date,price
Toyota,Camry,2023-01-08,25500
Honda,Civic,2023-01-19,22500
Ford,Explorer,2023-01-27,34500
Toyota,Corolla,2023-02-09,21500
Honda,Accord,2023-02-18,27500
Nissan,Altima,2023-02-27,24500
Toyota,RAV4,2023-03-08,28500
Honda,CR-V,2023-03-17,29500
Ford,Escape,2023-03-26,27500
Toyota,Highlander,2023-04-04,34000
Honda,Pilot,2023-04-13,35000
Nissan,Rogue,2023-04-22,26500
Toyota,Sienna,2023-05-01,33000
Honda,Odyssey,2023-05-10,32000
Ford,Edge,2023-05-19,30000
Toyota,Tacoma,2023-05-28,31000
Honda,Ridgeline,2023-06-06,33000
Nissan,Frontier,2023-06-15,29000
Toyota,4Runner,2023-06-24,38000
Honda,HR-V,2023-07-03,24000
Ford,Bronco,2023-07-12,36000
Toyota,Tundra,2023-07-21,40000
Honda,Fit,2023-07-30,21000
Nissan,Pathfinder,2023-08-08,33000
Toyota,GR86,2023-08-17,31000
Honda,Insight,2023-08-26,25000
Ford,Ranger,2023-09-04,28000
Toyota,Venza,2023-09-13,32000
Honda,Passport,2023-09-22,34000
Nissan,Murano,2023-10-01,32000
Toyota,Avalon,2023-10-10,36000
Honda,Clarity,2023-10-19,33000
Ford,Maverick,2023-10-28,25000
Toyota,Prius,2023-11-06,27000
Honda,CR-Z,2023-11-15,26000
Nissan,Kicks,2023-11-24,22000
Toyota,C-HR,2023-12-03,25000
Honda,Element,2023-12-12,28000
Ford,Fusion,2023-12-21,26000
Toyota,Camry,2023-12-30,26500
Honda,Civic,2024-01-08,23500
Ford,Explorer,2024-01-17,35500
Toyota,Corolla,2024-01-26,22500
Honda,Accord,2024-02-04,28500
Nissan,Altima,2024-02-13,25500
Toyota,RAV4,2024-02-22,29500
Honda,CR-V,2024-03-02,30500
Ford,Escape,2024-03-11,28500
Toyota,Highlander,2024-03-20,35000
Honda,Pilot,2024-03-29,36000
Nissan,Rogue,2024-04-07,27500
Toyota,Sienna,2024-04-16,34000
Honda,Odyssey,2024-04-25,33000
